Angle	Frequency	RCS	EsX.real	EsX.imag	EsY.real	EsY.imag	EsZ.real	EsZ.imag	JX.real	JX.imag	JY.real	JY.imag	JZ.real	JZ.imag
0.00	6.3500	-3.075676	-1.003600e-01	1.706521e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.4000	-8.021927	-7.006625e-02	8.740357e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.4500	-8.761755	-1.012999e-01	1.792949e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.5000	-4.657878	-1.649960e-01	-1.861246e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.5500	-2.163934	-2.171167e-01	3.479015e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.6000	-1.224686	-2.221474e-01	1.033153e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.6500	-1.545731	-1.718466e-01	1.619110e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.7000	-3.154441	-8.957519e-02	1.745455e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.7500	-6.586808	-1.793316e-02	1.309237e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.8000	-14.501541	3.973071e-03	5.297856e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.8500	-16.714716	-3.808492e-02	-1.565631e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.9000	-6.823959	-1.245455e-01	-3.198498e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.9500	-2.491095	-2.104457e-01	2.354089e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.0000	-0.008495	-2.471320e-01	1.354539e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.0500	1.395963	-2.064852e-01	2.590546e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.1000	1.973025	-9.548236e-02	3.409164e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

